LocalAuthority
Barking and Dagenham - London Borough of
Barnet - London Borough of
Bexley - London Borough of
Bromley Council - London Borough of
Ealing - London Borough of
Liverpool City Council
Manchester City Council
Birmingham City Council
Scottish Borders Council
Swansea City and County Council
Cornwall County Council
Belfast City Council
Lisburn City and Castlereagh District Council
Aberdeen City Council
Glasgow City Council
Cardiff County Council
Pembrokeshire Council
Antrim and Newtownabbey District Council
Edinburgh City Council
Hounslow -  London Borough of
